suburb,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,mean_crime_rate
THE VINES,216,156,115,141,111,105,170,201,160,152.77777777777777
THORNLIE,2122,2499,2160,2375,2960,2316,2329,2369,2563,2410.3333333333335
TREEBY,19,128,116,216,174,185,164,144,164,145.55555555555554
TRIGG,216,177,179,179,126,121,154,158,187,166.33333333333334
TUART HILL,618,722,740,886,783,690,686,584,615,702.6666666666666
TWO ROCKS,243,217,195,191,205,153,247,142,206,199.88888888888889
UPPER SWAN,108,153,117,114,135,106,82,79,71,107.22222222222223
VICTORIA PARK,1815,1681,1581,1296,1279,1215,1493,1367,1687,1490.4444444444443
VIVEASH,49,75,71,74,78,71,76,47,41,64.66666666666667
WAIKIKI,1064,1138,1093,1071,977,910,913,866,961,999.2222222222222
WALLISTON,35,42,47,55,59,37,35,26,30,40.666666666666664
WANDI,186,162,163,148,116,97,134,120,107,137.0
WANGARA,425,498,476,456,418,346,241,239,251,372.22222222222223
WANNEROO,1383,1337,1010,1007,1018,788,754,825,875,999.6666666666666
WARNBRO,1675,1489,1561,1148,1258,924,884,892,1196,1225.2222222222222
WARWICK,649,666,733,721,781,604,706,681,627,685.3333333333334
WATERFORD,238,216,152,162,177,180,201,131,128,176.11111111111111
WATERMANS BAY,43,59,39,66,37,25,38,50,44,44.55555555555556
WATTLE GROVE,486,264,293,257,354,244,233,336,235,300.22222222222223
WATTLEUP,105,85,68,56,69,66,59,41,50,66.55555555555556
WELLARD,896,922,946,1016,944,751,908,907,1147,937.4444444444445
WELSHPOOL,535,551,448,507,619,360,356,360,438,463.77777777777777
WEMBLEY,750,921,645,772,665,526,576,462,601,657.5555555555555
WEMBLEY DOWNS,164,141,122,279,195,146,120,130,149,160.66666666666666
WEST LEEDERVILLE,408,765,418,546,340,289,290,267,319,404.6666666666667
WEST PERTH,1520,1342,1677,1367,1386,1178,1377,1182,1387,1379.5555555555557
WEST SWAN,91,67,82,92,114,61,43,68,78,77.33333333333333
WESTMINSTER,714,906,835,744,952,651,736,775,925,804.2222222222222
WHITBY,17,41,60,47,70,39,22,22,34,39.111111111111114
WHITE GUM VALLEY,440,332,329,262,221,212,399,330,340,318.3333333333333
WILLAGEE,825,594,714,757,617,436,463,383,474,584.7777777777778
WILLETTON,818,827,800,973,910,749,771,793,718,817.6666666666666
WILSON,495,498,509,460,462,425,384,638,431,478.0
WINTHROP,252,197,263,221,230,131,154,159,171,197.55555555555554
WOODBRIDGE,196,194,169,167,269,181,147,147,160,181.11111111111111
WOODLANDS,155,163,155,219,184,140,139,126,101,153.55555555555554
WOODVALE,313,386,317,291,352,295,210,242,236,293.55555555555554
WOOROLOO,125,124,142,56,215,197,175,167,129,147.77777777777777
WUNGONG,31,30,24,32,29,24,27,15,30,26.88888888888889
YANCHEP,703,640,704,595,598,577,666,556,672,634.5555555555555
YANGEBUP,778,604,679,629,668,512,516,455,492,592.5555555555555
YOKINE,1043,838,949,899,811,839,863,972,931,905.0
